Date,Open,High,Low,Close,Volume,Market Cap
7-Sep-17,247.8,250.15,236.8,247.31,"27,100,600","527,118,000"
6-Sep-17,227.81,248.71,225.62,247.01,"29,252,500","482,953,000"
5-Sep-17,219.36,234.42,197.06,226.88,"31,113,600","463,446,000"
4-Sep-17,260.66,260.66,199.72,218.34,"41,954,600","548,884,000"
3-Sep-17,254.76,268.54,242.55,260.09,"34,128,900","534,636,000"
2-Sep-17,304.72,307.83,246.19,254.03,"52,498,700","637,301,000"
1-Sep-17,283.81,308.75,281.1,305.11,"45,352,800","591,510,000"
31-Aug-17,272.12,283.58,268.83,283.29,"26,913,900","565,218,000"
30-Aug-17,270.74,279.51,263.91,271.64,"29,396,300","560,403,000"
29-Aug-17,274.68,275.68,265.93,270.3,"28,596,800","566,591,000"
28-Aug-17,273.22,278.38,255.11,274.62,"35,210,000","561,634,000"
27-Aug-17,292.75,292.75,265.37,273.37,"35,217,900","599,640,000"
26-Aug-17,238.72,294.65,236.51,294.65,"65,866,400","487,257,000"
25-Aug-17,227.9,256.83,227.9,237.86,"28,281,900","463,553,000"
24-Aug-17,228.12,231.47,225.13,228.11,"15,371,700","462,350,000"
23-Aug-17,227.13,238.8,224.99,228.3,"19,773,800","458,739,000"
22-Aug-17,239.67,240.24,209.21,227.71,"26,540,900","482,352,000"
21-Aug-17,241.22,258.89,231.64,239.06,"33,202,000","483,761,000"
20-Aug-17,232.05,250.96,224.8,241.07,"30,209,100","463,682,000"
19-Aug-17,201.65,242.61,194.37,233.34,"34,374,700","401,504,000"
18-Aug-17,208.93,211.38,200.21,201.01,"17,564,100","414,480,000"
17-Aug-17,217.05,237.16,206.91,208.95,"16,505,300","429,048,000"
16-Aug-17,211.92,218.01,206.16,216.75,"17,198,100","417,382,000"
15-Aug-17,209.94,213.17,199.59,212.17,"21,171,600","411,977,000"
14-Aug-17,214.54,216.58,203.64,210.23,"18,355,900","419,477,000"
13-Aug-17,223.34,225.51,202.03,214.31,"21,036,100","435,089,000"
12-Aug-17,234.22,235.42,219.06,223.31,"20,015,900","454,579,000"
11-Aug-17,231.04,234.79,225.66,234.37,"18,765,000","446,761,000"
10-Aug-17,242.51,247.29,230.4,230.4,"20,530,400","467,188,000"
9-Aug-17,245.89,261.31,231.67,242.9,"37,956,900","471,948,000"
8-Aug-17,209.18,255.97,208.04,245.48,"39,426,100","400,002,000"
7-Aug-17,206.98,210.31,203.67,208.64,"21,607,900","394,300,000"
6-Aug-17,205.52,215.81,205.52,206.3,"17,480,000","390,040,000"
5-Aug-17,187.59,214.84,186.24,207.52,"25,450,100","354,682,000"
4-Aug-17,188.94,190.13,184.8,186.76,"18,265,500","355,864,000"
3-Aug-17,188.93,189.71,182.61,186.84,"17,505,400","354,510,000"
2-Aug-17,190.31,194.16,183.47,189.14,"28,456,000","355,707,000"
1-Aug-17,172.93,195.17,172.8,192.34,"36,659,900","321,995,000"
31-Jul-17,175.48,179.42,169.36,176.32,"28,589,500","325,483,000"
30-Jul-17,185.11,185.24,175.42,175.42,"17,966,700","342,048,000"
29-Jul-17,176.46,189.54,170.91,189.29,"31,702,400","324,760,000"
28-Jul-17,187.06,189.68,173.35,178.05,"27,546,000","342,935,000"
27-Jul-17,190.69,192.12,184.39,185.9,"19,482,500","348,236,000"
26-Jul-17,186.88,191.24,174.97,190.08,"21,283,100","339,929,000"
25-Jul-17,210.09,210.55,176.79,184.19,"24,464,700","380,663,000"
24-Jul-17,211.62,213.15,205.97,206.82,"23,279,900","381,901,000"
23-Jul-17,217.3,224.71,208.56,214.42,"24,745,700","390,602,000"
22-Jul-17,203.02,216.71,201.89,216.1,"38,717,100","363,481,000"
21-Jul-17,210.22,215.07,199.48,201.8,"20,076,700","374,866,000"
20-Jul-17,182.36,213.16,182.36,206.94,"26,033,400","323,865,000"
19-Jul-17,199.5,216.42,181,181.99,"21,939,800","352,883,000"
18-Jul-17,180.46,223.43,172.47,199.32,"27,904,700","317,907,000"
17-Jul-17,165.66,184.44,161.47,182.51,"28,966,300","290,661,000"
16-Jul-17,160.04,165.98,144.09,165.98,"20,481,600","279,643,000"
15-Jul-17,178.22,178.22,156.18,160.07,"14,327,300","310,131,000"
14-Jul-17,192.32,193.29,167.39,177.45,"23,103,400","333,293,000"
13-Jul-17,214.37,214.7,183.89,191.15,"27,023,600","369,981,000"
12-Jul-17,178.03,212.41,166.98,211.24,"30,152,500","305,980,000"
11-Jul-17,197.8,200.54,167.9,178.37,"37,434,800","338,586,000"
10-Jul-17,242.21,242.35,185.06,198.73,"28,200,200","412,809,000"
9-Jul-17,252.5,260.23,241.43,241.43,"17,712,900","426,014,000"
8-Jul-17,249.02,249.52,235.82,248.86,"27,224,500","420,155,000"
7-Jul-17,285.71,289.64,248.55,248.73,"38,104,000","443,549,000"
6-Jul-17,281.64,291.31,275.21,287.81,"35,396,700","437,232,000"
5-Jul-17,280.24,286.92,272.46,283.01,"38,079,400","435,050,000"
4-Jul-17,289.44,298.99,279.07,282.21,"28,509,400","449,337,000"
3-Jul-17,295.4,295.8,283.18,291.56,"28,546,700","458,593,000"
2-Jul-17,282.77,305.81,269.74,301.88,"24,816,800","438,992,000"
1-Jul-17,299.41,303.36,280.18,290.37,"25,718,200","464,819,000"
30-Jun-17,318.72,325.32,302.21,307.12,"37,157,600","494,798,000"
29-Jun-17,337.43,344.35,313.32,324.38,"28,494,500","523,837,000"
28-Jun-17,327.43,347.13,314.24,342.61,"29,121,800","508,309,000"
27-Jun-17,310.22,331.74,274.78,328.65,"43,883,000","481,606,000"
26-Jun-17,324.59,331.31,265.86,304.65,"36,083,400","503,912,000"
25-Jun-17,356.86,359.04,307.36,330.04,"28,035,800","554,006,000"
24-Jun-17,381.16,384.91,359.83,362.57,"22,252,900","591,734,000"
23-Jun-17,370.64,392.4,369.33,385.84,"24,419,100","575,399,000"
22-Jun-17,378.96,386.61,361.11,378.56,"29,971,100","588,315,000"
21-Jun-17,394.25,397.36,357.88,378.22,"31,746,200","612,054,000"
20-Jun-17,393.26,426.4,385.34,401.2,"66,283,200","610,509,000"
19-Jun-17,375.67,399.4,372.11,391.89,"29,471,100","583,207,000"
18-Jun-17,387.14,387.68,371.41,376.82,"19,743,700","598,756,000"
17-Jun-17,388.45,391.98,370.38,384.86,"28,059,300","597,978,000"
16-Jun-17,395.48,402.09,364.08,387.43,"38,818,700","606,012,000"
15-Jun-17,381.73,407.36,288.83,387.34,"68,123,100","582,192,000"
14-Jun-17,368.09,443.72,352.73,387.49,"101,232,000","558,715,000"
13-Jun-17,311.55,371.5,311.55,368.28,"44,446,100","470,678,000"
12-Jun-17,329.75,345.5,275.58,311.49,"46,398,200","495,788,000"
11-Jun-17,328.96,343.18,309.48,331.1,"38,020,300","492,266,000"
10-Jun-17,281.31,334.43,281.31,328.66,"38,924,900","418,942,000"
9-Jun-17,271.55,281.13,270.58,281.13,"16,799,000","402,438,000"
8-Jun-17,264.36,283.62,259.21,272.24,"23,372,600","389,903,000"
7-Jun-17,259.5,312.65,258.06,262.79,"50,328,900","380,849,000"
6-Jun-17,254.2,265.25,247.13,259.36,"20,436,100","371,267,000"
5-Jun-17,238.82,281.45,238.42,253.03,"43,925,100","347,104,000"
4-Jun-17,229.02,244.27,227.92,239.52,"15,806,600","331,190,000"
3-Jun-17,241.52,243.93,228.49,230,"18,667,600","347,532,000"
2-Jun-17,249.16,257.29,240.15,241.68,"15,822,200","356,721,000"
1-Jun-17,235.72,261.55,234.48,249.27,"23,902,700","335,810,000"
31-May-17,233.5,254.38,228.39,235.67,"30,347,500","330,973,000"
30-May-17,206.01,246.78,203.15,232.93,"35,817,600","290,541,000"
29-May-17,195.88,208.7,189.79,205.57,"18,855,000","274,861,000"
28-May-17,191.36,211.97,182.67,196.32,"17,904,800","267,127,000"
27-May-17,198.72,204.81,147.19,190.82,"27,968,300","275,981,000"
26-May-17,222.02,252.28,179.41,197.88,"30,254,100","306,780,000"
25-May-17,236.98,269.77,205.6,224.46,"45,598,300","325,697,000"
24-May-17,239.06,285.79,234.34,238.6,"51,125,500","326,874,000"
23-May-17,203.79,299.44,195.51,239.49,"87,792,200","277,175,000"
22-May-17,120.45,278.57,120.45,203.19,"103,976,000","162,935,000"
21-May-17,108.36,122.02,106.55,119.81,"11,511,500","145,825,000"
20-May-17,105.86,110.79,105.74,108.23,"7,298,390","141,697,000"
19-May-17,94.61,108.15,94.61,106.08,"11,538,100","125,961,000"
18-May-17,92.72,95.08,88.94,94.92,"6,969,390","122,765,000"
17-May-17,90.64,93.6,87.27,92.66,"7,980,650","119,361,000"
16-May-17,93.53,94.43,90.19,90.6,"5,421,060","122,524,000"
15-May-17,96.79,97.81,93.15,93.57,"6,412,220","126,091,000"
14-May-17,96.71,98.35,94.34,96.7,"5,258,320","125,286,000"
13-May-17,97.38,98.21,94.01,96.58,"4,761,440","125,467,000"
12-May-17,95.37,101.69,95.27,97.44,"7,739,710","122,184,000"
11-May-17,96.94,98.91,94.91,95.13,"7,542,780","123,504,000"
10-May-17,96.46,101.89,94.24,96.99,"7,670,940","122,197,000"
9-May-17,105.84,106.73,93.81,96.09,"12,915,800","133,321,000"
8-May-17,104.08,111.53,103.06,106.62,"11,574,400","130,349,000"
7-May-17,107.83,108.27,100.65,103.83,"9,456,320","134,288,000"
6-May-17,103.86,109.39,100.96,108.21,"7,489,580","128,578,000"
5-May-17,99.52,113.34,99.43,103.64,"12,122,500","122,501,000"
4-May-17,91.09,103.51,90.93,99.54,"9,791,100","111,469,000"
3-May-17,91.61,94.22,87.75,91.04,"8,785,360","111,439,000"
2-May-17,90.44,95.45,88.12,91.93,"9,723,680","109,383,000"
1-May-17,93.73,107.73,83.62,90.05,"19,211,300","112,683,000"
30-Apr-17,96.18,99.07,89.93,93.2,"11,989,300","114,946,000"
29-Apr-17,84.07,97.45,83.02,96.08,"10,732,700","99,875,400"
28-Apr-17,76.86,85.13,76.58,83.95,"10,311,300","90,759,600"
27-Apr-17,72.1,79.95,69.65,76.82,"9,219,590","84,612,600"
26-Apr-17,69.14,75.07,69.11,72,"7,519,790","80,642,700"
25-Apr-17,67.85,73.29,64.75,69.17,"4,835,280","78,658,500"
24-Apr-17,66.56,68.82,66.56,67.99,"4,159,870","76,673,600"
23-Apr-17,68.75,68.78,66.24,66.34,"2,664,960","78,715,800"
22-Apr-17,68,68.87,67.5,68.67,"4,087,150","77,370,200"
21-Apr-17,67.3,69.73,66.72,68.14,"5,144,630","76,077,100"
20-Apr-17,71.02,71.15,66.61,67.32,"5,595,750","79,776,500"
19-Apr-17,71.78,72.31,70.13,70.94,"4,692,510","80,124,000"
18-Apr-17,70.25,72.27,70.23,71.78,"3,733,350","77,913,000"
17-Apr-17,71.59,72.01,69.53,70.24,"3,190,330","78,887,900"
16-Apr-17,72.94,74.37,70.75,71.5,"3,777,100","79,847,000"
15-Apr-17,71.91,77.18,69.02,72.87,"8,228,310","78,194,200"
14-Apr-17,64.81,71.44,64.55,71.17,"5,898,520","70,014,800"
13-Apr-17,62.07,64.82,61.27,64.66,"4,322,200","66,613,800"
12-Apr-17,61.9,63.14,60.03,62,"3,425,370","65,983,600"
11-Apr-17,64.91,65.4,61.51,61.83,"3,188,750","68,728,500"
10-Apr-17,62.77,68.89,62.77,64.82,"4,183,730","66,021,000"
9-Apr-17,63.53,78.56,62.1,62.55,"10,584,900","66,355,600"
8-Apr-17,59.53,65.48,57.62,63.58,"3,732,900","61,741,700"
7-Apr-17,57.78,61.35,55.39,59.8,"3,267,540","59,523,300"
6-Apr-17,59.17,59.35,53.7,57.9,"5,816,800","60,520,700"
5-Apr-17,62.59,63.28,58.05,59.08,"5,402,150","63,575,400"
4-Apr-17,63.5,64,60.77,62.7,"5,109,820","64,046,000"
3-Apr-17,64.04,66.15,61.72,63.45,"4,457,090","64,128,500"
2-Apr-17,64.57,67.63,61.48,63.73,"4,470,820","64,197,700"
1-Apr-17,70.17,73.51,64.42,64.59,"3,451,690","69,257,500"
31-Mar-17,66.93,78.47,66.93,70.26,"6,312,930","65,584,900"
30-Mar-17,63.26,67.48,61.75,66.95,"4,462,730","61,533,300"
29-Mar-17,64.96,67.71,61.76,63.36,"2,921,400","62,717,300"
28-Mar-17,54.67,73.46,54.61,64.69,"9,419,650","52,396,100"
27-Mar-17,60.04,62.01,54.18,54.54,"3,581,290","57,118,900"
26-Mar-17,63.56,65.66,59.24,59.93,"3,128,110","60,007,100"
25-Mar-17,64.77,66.48,63.15,63.4,"4,535,020","60,684,200"
24-Mar-17,66.57,73.43,63.65,64.59,"9,363,870","61,898,800"
23-Mar-17,69.34,69.66,65.91,66.61,"2,369,260","63,969,700"
22-Mar-17,66.15,71.21,64.69,69.22,"4,318,140","60,554,100"
21-Mar-17,72.09,73.63,65.09,66.64,"6,927,260","65,476,600"
20-Mar-17,70.07,79.06,70.07,72.47,"7,465,190","63,138,900"
19-Mar-17,63.48,80.33,59.49,69.89,"13,536,800","56,746,400"
18-Mar-17,48.27,91.09,47.68,64.18,"27,275,200","42,797,100"
17-Mar-17,49.12,53.54,46.33,48.27,"5,088,250","43,205,000"
16-Mar-17,45.65,50.7,45.65,48.78,"3,945,410","39,820,700"
15-Mar-17,45.06,46.26,43.24,45.73,"2,480,490","38,990,000"
14-Mar-17,47.75,47.78,43.45,45.12,"2,372,830","40,972,200"
13-Mar-17,40.17,48.38,40.17,47.66,"5,846,470","34,184,000"
12-Mar-17,39.88,40.96,38.05,40.16,"1,838,160","33,651,900"
11-Mar-17,35.3,40.01,35.3,39.72,"1,681,810","29,530,600"
10-Mar-17,36.7,38.29,33.66,35.35,"1,938,790","30,440,700"
9-Mar-17,35.75,37.41,35.32,36.72,"891,767","29,399,200"
8-Mar-17,38.03,38.17,35.56,35.74,"1,056,640","30,997,800"
7-Mar-17,40.13,40.64,38.02,38.03,"1,051,440","32,420,300"
6-Mar-17,39.44,40.33,37.83,40.32,"1,250,700","31,577,900"
5-Mar-17,41.67,41.74,39.11,39.44,"802,597","33,074,800"
4-Mar-17,41.86,43.63,39.92,41.64,"1,619,630","32,919,300"
3-Mar-17,39.71,42,37.73,41.8,"2,223,230","30,944,900"
2-Mar-17,41.58,42.3,39.3,39.67,"2,385,790","32,105,400"
1-Mar-17,37.28,41.45,37.19,41.41,"2,376,490","28,517,700"
28-Feb-17,36.42,38.4,34.41,37.3,"2,551,690","27,596,000"
27-Feb-17,29.37,37.96,29.36,35.94,"2,214,690","22,047,100"
26-Feb-17,29.14,29.96,28.48,29.45,"505,969","21,661,100"
25-Feb-17,30.12,30.71,28.58,29.15,"508,970","22,177,700"
24-Feb-17,30.11,31.81,28.47,30.23,"1,180,920","21,953,500"
23-Feb-17,27.18,32.62,26.15,29.98,"1,441,340","19,626,800"
22-Feb-17,29.93,30.08,26.93,27.16,"1,044,580","21,400,000"
21-Feb-17,30.89,30.89,29.6,29.9,"685,559","21,859,000"
20-Feb-17,30.6,31.19,30.36,30.87,"556,168","21,434,000"
19-Feb-17,30.79,31.28,30.48,30.58,"515,481","21,350,900"
18-Feb-17,32.1,32.3,30.77,30.84,"638,843","22,025,200"
17-Feb-17,32.54,32.79,31.73,32.01,"495,639","22,094,500"
16-Feb-17,33.56,34.22,32.52,32.56,"679,495","22,549,000"
15-Feb-17,32.3,34.17,31.15,33.55,"852,288","21,469,300"
14-Feb-17,30.4,32.6,30.2,32.37,"750,407","19,988,100"
13-Feb-17,31.52,31.82,30.1,30.38,"771,020","20,493,800"
12-Feb-17,32.7,32.98,31.61,31.61,"515,968","21,034,500"
11-Feb-17,32.71,33.67,32.15,32.76,"521,365","20,803,800"
10-Feb-17,33.35,33.44,31.93,32.7,"602,423","20,974,100"
9-Feb-17,35.32,36.13,32.25,33.34,"1,148,210","21,961,100"
8-Feb-17,36.45,36.75,34.58,35.3,"951,820","22,402,200"
7-Feb-17,37.63,37.78,35.46,36.42,"966,072","22,856,400"
6-Feb-17,38.18,38.26,37.58,37.59,"639,128","22,919,200"
5-Feb-17,39.37,39.45,38.12,38.16,"615,852","23,346,500"
4-Feb-17,39.04,39.55,38.52,39.34,"635,301","22,873,800"
3-Feb-17,39.25,39.31,38.01,39.02,"843,232","22,712,100"
2-Feb-17,39.91,40.04,38.64,39.24,"678,128","22,811,500"
1-Feb-17,39.57,40.29,39.44,39.89,"635,382","22,332,800"
31-Jan-17,39.8,40.45,38.94,39.52,"973,401","22,181,100"
30-Jan-17,38.65,40.31,38.52,39.98,"764,947","21,264,100"
29-Jan-17,38.26,41.53,38.24,38.67,"890,475","20,775,300"
28-Jan-17,38.23,38.98,38.09,38.2,"571,993","20,487,000"
27-Jan-17,38.71,40.16,37.9,38.22,"939,370","20,464,400"
26-Jan-17,40.09,41.55,37.64,38.52,"1,161,820","20,909,800"
25-Jan-17,41.41,42.08,39.69,40.15,"831,920","21,303,700"
24-Jan-17,42.67,43.42,41.41,41.41,"661,979","21,641,900"
23-Jan-17,43.34,43.61,42.79,42.85,"611,189","21,673,400"
22-Jan-17,43.5,44.49,42.79,43.31,"812,956","21,444,100"
21-Jan-17,43.6,44.42,43.39,43.51,"691,633","21,181,600"
20-Jan-17,44.22,44.22,43.12,43.65,"682,880","21,162,900"
19-Jan-17,43.89,44.35,42.99,44.25,"589,695","20,688,300"
18-Jan-17,44.74,44.98,41.95,43.92,"963,419","20,774,000"
17-Jan-17,43.58,45.25,43.4,44.68,"1,087,180","19,924,600"
16-Jan-17,45.1,45.23,43.3,43.46,"667,903","20,288,200"
15-Jan-17,43.63,45.41,43.02,45.15,"806,839","19,324,100"
14-Jan-17,43.21,44.04,42.9,43.64,"575,149","18,834,500"
13-Jan-17,42.66,44.47,42.28,43.21,"691,680","18,284,300"
12-Jan-17,40.07,45.42,39.44,42.81,"1,387,920","16,884,400"
11-Jan-17,45.63,46.04,39.76,40.05,"1,211,260","18,903,600"
10-Jan-17,46.22,46.37,45.03,45.66,"749,575","18,817,000"
9-Jan-17,46.12,46.47,45.59,46.1,"668,273","18,441,800"
8-Jan-17,47.39,48.17,45.62,46.11,"831,332","18,617,800"
7-Jan-17,47.71,47.87,44.01,47.38,"1,084,960","18,393,900"
6-Jan-17,49.79,52.24,45.74,47.46,"1,202,660","18,845,700"
5-Jan-17,57.22,59.77,47.7,49.84,"2,845,970","21,251,900"
4-Jan-17,49.8,57.25,49.72,57.03,"1,998,750","18,137,500"
3-Jan-17,50.09,51.71,48.61,50.04,"1,131,760","17,880,500"
2-Jan-17,48.36,50.26,48.14,49.79,"795,244","16,919,100"
1-Jan-17,48.05,49.06,47.97,48.47,"530,961","16,468,900"
31-Dec-16,50.48,50.48,48.01,48.1,"534,660","16,941,000"
30-Dec-16,50.52,52.24,49.97,50.38,"960,167","16,595,400"
29-Dec-16,48.43,52.93,48.43,50.99,"1,191,160","15,557,400"
28-Dec-16,44.02,54.11,43.72,48.49,"2,236,980","13,824,500"
27-Dec-16,43.5,48.31,42.16,44.38,"1,034,630","13,352,300"
26-Dec-16,45.89,46.91,42.67,43.59,"896,655","13,753,700"
25-Dec-16,48.52,50.01,44.06,45.85,"927,218","14,195,300"
24-Dec-16,51.99,54.89,47.51,48.24,"1,362,700","14,847,800"
23-Dec-16,48.02,63.97,45.97,52.05,"4,812,040","13,371,200"
22-Dec-16,36.29,48.57,36.28,47.76,"2,591,110","9,840,030"
21-Dec-16,36.17,39.32,35.77,36.29,"892,439","9,545,130"
20-Dec-16,34.55,40.06,34.24,36.02,"1,105,810","8,869,190"
19-Dec-16,36.55,37.48,33.91,34.47,"544,746","9,123,560"
18-Dec-16,35.82,40.63,35.14,36.44,"603,727","8,685,170"
17-Dec-16,40.22,40.22,35.8,35.84,"668,641","9,464,260"
16-Dec-16,40.48,42.3,40.06,40.22,"417,793","9,235,150"
15-Dec-16,44.41,44.41,40.08,40.31,"658,957","9,817,220"
14-Dec-16,46.82,47.24,43.13,44.33,"801,444","10,014,600"
13-Dec-16,50.02,50.02,46.55,46.78,"600,625","10,340,500"
12-Dec-16,48.48,50.12,48.33,49.92,"650,266","9,674,570"
11-Dec-16,49.6,50.56,48.34,48.48,"512,219","9,544,090"
10-Dec-16,50.35,50.54,48.11,49.78,"539,462","9,328,520"
9-Dec-16,53.38,53.44,49.7,50.37,"674,180","9,506,630"
8-Dec-16,54,57.45,53.28,53.3,"797,234","9,229,090"
7-Dec-16,48.74,61.18,47.71,54.61,"1,479,950","7,982,650"
6-Dec-16,50.97,53.08,47.48,48.74,"1,386,070","7,977,960"
5-Dec-16,58.39,58.59,50.81,50.93,"1,036,500","8,728,140"
4-Dec-16,59.46,62.11,58.35,58.39,"825,231","8,458,930"
3-Dec-16,59.85,60.85,58.66,59.53,"837,752","8,086,360"
2-Dec-16,63.63,64.5,60.32,60.32,"1,201,460","8,145,410"
1-Dec-16,68.46,68.46,62.49,63.03,"1,247,650","8,268,910"
30-Nov-16,68.76,72.94,66.71,68.69,"1,389,900","7,833,490"
29-Nov-16,71.84,77.66,67.96,68.72,"1,275,680","7,698,550"
28-Nov-16,69.26,75.52,66.21,70.96,"1,262,350","6,962,100"
27-Nov-16,77.33,80.42,66.66,69.83,"1,465,100","7,286,500"
26-Nov-16,91.13,92.36,76.02,77.3,"1,902,290","8,032,700"
25-Nov-16,96.64,106.89,88.17,91.33,"3,525,760","7,953,550"
24-Nov-16,78.43,102.42,69.08,97.19,"4,090,150","5,998,180"
23-Nov-16,57.54,87.68,57.4,77.56,"2,391,080","4,077,640"
22-Nov-16,54.01,72.02,53.39,57.9,"1,326,320","3,546,160"
21-Nov-16,59.96,60.23,53.94,54.02,"711,312","3,627,400"
